SHIPMENT_ID,SHIPMENT_DATE,DELIVERY_DATE,DRUG_NAME,NDC,MANUFACTURER,TC_SUB_CLASS,DRUG_CLASS,PHARMACY_NAME,PHARMACY_ID,AFFIL_ID,AFFIL_NAME,STATE_CODE,STATE_NAME,PATIENT_TYPE,PAYOR_TYPE,QUANTITY_SHIPPED,UNIT_PRICE,TOTAL_AMOUNT,DAYS_TO_DELIVER,QUARTER_NAME,MONTH_NAME,YEAR,COPAY_INTERVAL
SHP001,2024-01-05,2024-01-08,Lisinopril 10mg,00378-0345-01,Mylan Pharmaceuticals,ACE Inhibitor,Cardiovascular,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Medicare,Medicare Part D,300,0.15,45.00,3,Q1 2024,January,2024,0-10
SHP002,2024-01-07,2024-01-10,Metformin 500mg,00093-7214-01,Teva Pharmaceuticals,Biguanide,Antidiabetic,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Commercial,PPO,500,0.08,40.00,3,Q1 2024,January,2024,10-20
SHP003,2024-01-10,2024-01-13,Atorvastatin 20mg,00071-0155-23,Pfizer Inc,Statin,Cardiovascular,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Medicaid,Medicaid,450,0.25,112.50,3,Q1 2024,January,2024,0-10
SHP004,2024-01-12,2024-01-16,Amlodipine 5mg,00093-7367-56,Teva Pharmaceuticals,Calcium Channel Blocker,Cardiovascular,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Medicare,Medicare Part D,600,0.12,72.00,4,Q1 2024,January,2024,10-20
SHP005,2024-01-15,2024-01-18,Omeprazole 20mg,00378-6250-93,Mylan Pharmaceuticals,Proton Pump Inhibitor,Gastrointestinal,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Commercial,HMO,800,0.18,144.00,3,Q1 2024,January,2024,20-30
SHP006,2024-01-18,2024-01-22,Levothyroxine 50mcg,00074-3314-90,AbbVie Inc,Thyroid Hormone,Endocrine,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Medicare,Medicare Advantage,400,0.10,40.00,4,Q1 2024,January,2024,0-10
SHP007,2024-01-20,2024-01-23,Albuterol Inhaler,00173-0682-20,GlaxoSmithKline,Beta-2 Agonist,Respiratory,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Commercial,PPO,200,28.50,5700.00,3,Q1 2024,January,2024,30-40
SHP008,2024-01-22,2024-01-26,Gabapentin 300mg,00182-1129-01,Glenmark Pharmaceuticals,Anticonvulsant,Neurological,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Medicaid,Medicaid,1000,0.06,60.00,4,Q1 2024,January,2024,0-10
SHP009,2024-01-25,2024-01-29,Sertraline 50mg,00093-7214-56,Teva Pharmaceuticals,SSRI,Psychiatric,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Commercial,EPO,350,0.22,77.00,4,Q1 2024,January,2024,10-20
SHP010,2024-01-28,2024-02-01,Losartan 50mg,00093-7365-56,Teva Pharmaceuticals,ARB,Cardiovascular,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Medicare,Medicare Part D,550,0.14,77.00,4,Q1 2024,January,2024,20-30
SHP011,2024-02-02,2024-02-05,Metoprolol 25mg,00378-0398-05,Mylan Pharmaceuticals,Beta Blocker,Cardiovascular,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Commercial,PPO,425,0.11,46.75,3,Q1 2024,February,2024,10-20
SHP012,2024-02-05,2024-02-08,Prednisone 10mg,00054-4741-25,Roxane Laboratories,Corticosteroid,Anti-inflammatory,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Medicare,Medicare Advantage,300,0.09,27.00,3,Q1 2024,February,2024,0-10
SHP013,2024-02-08,2024-02-12,Pantoprazole 40mg,00378-1810-93,Mylan Pharmaceuticals,Proton Pump Inhibitor,Gastrointestinal,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Medicaid,Medicaid,700,0.16,112.00,4,Q1 2024,February,2024,0-10
SHP014,2024-02-10,2024-02-13,Fluoxetine 20mg,00093-7198-56,Teva Pharmaceuticals,SSRI,Psychiatric,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Commercial,HMO,280,0.19,53.20,3,Q1 2024,February,2024,20-30
SHP015,2024-02-12,2024-02-16,Simvastatin 20mg,00093-7267-56,Teva Pharmaceuticals,Statin,Cardiovascular,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Medicare,Medicare Part D,500,0.13,65.00,4,Q1 2024,February,2024,10-20
SHP016,2024-02-15,2024-02-19,Escitalopram 10mg,00378-1805-93,Mylan Pharmaceuticals,SSRI,Psychiatric,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Commercial,PPO,320,0.28,89.60,4,Q1 2024,February,2024,30-40
SHP017,2024-02-18,2024-02-21,Tramadol 50mg,00406-0537-01,Amneal Pharmaceuticals,Opioid Analgesic,Pain Management,Westside Pharmacy,PH002,AFF001,Metro Health Network,CA,California,Medicaid,Medicaid,150,0.35,52.50,3,Q1 2024,February,2024,0-10
SHP018,2024-02-20,2024-02-23,Clopidogrel 75mg,00093-7298-56,Teva Pharmaceuticals,Antiplatelet,Cardiovascular,Village Pharmacy,PH006,AFF004,Independent Network,FL,Florida,Medicare,Medicare Part D,380,0.42,159.60,3,Q1 2024,February,2024,20-30
SHP019,2024-02-22,2024-02-26,Hydrochlorothiazide 25mg,00378-0032-05,Mylan Pharmaceuticals,Thiazide Diuretic,Cardiovascular,Northside Rx,PH003,AFF002,Regional Care Group,TX,Texas,Commercial,EPO,600,0.07,42.00,4,Q1 2024,February,2024,10-20
SHP020,2024-02-25,2024-02-29,Montelukast 10mg,00093-7355-56,Teva Pharmaceuticals,Leukotriene Inhibitor,Respiratory,Southside Pharmacy,PH005,AFF002,Regional Care Group,TX,Texas,Medicare,Medicare Advantage,290,0.31,89.90,4,Q1 2024,February,2024,30-40
SHP021,2024-03-01,2024-03-05,Insulin Glargine,00088-2220-33,Sanofi-Aventis,Long-Acting Insulin,Antidiabetic,Central Pharmacy,PH001,AFF001,Metro Health Network,CA,California,Commercial,PPO,180,95.00,17100.00,4,Q1 2024,March,2024,40-50
SHP022,2024-03-04,2024-03-07,Rosuvastatin 10mg,00310-0733-39,Aurobindo Pharma,Statin,Cardiovascular,Eastside Pharmacy,PH004,AFF003,Community Health Alliance,NY,New York,Medicare,Medicare Part D,420,0.38,159.60,3,Q1 2024,March,2024,20-30
